collected_at,backers_count,blurb,category_id,category_name,category_parent_id,category_parent_name,category_url,converted_pledged_amount,country,created_at,creator_id,creator_name,creator_url,currency,deadline,fx_rate,goal,id,launched_at,location_country,location_id,location_name,location_state,location_type,name,percent_funded,pledged,profile_blurb,profile_id,profile_name,profile_project_id,profile_state,profile_state_changed_at,project_url,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_exchange_rate,usd_pledged,usd_type
20250525,927,4K Vision with Bi-Cameras | Human-like Groundstrokes | Serve & Rally Modes | For Beginners & Pros | App Control | AI Coaching,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,1434105,US,1740637347,2058891993,Acemate,https://www.kickstarter.com/profile/acemate-tennis-robot,USD,1751810518,1,30000,2089076238,1746626518,US,2391279,Denver,CO,Town,Acemate - World's First Tennis Robot for Real Rally Play,4780.35,1434105,None,5139043,None,5139043,inactive,1740637347,https://www.kickstarter.com/projects/acemate-tennis-robot/acemate-worlds-first-tennis-robot-for-real-rally-play,FALSE,TRUE,live,1746626523,1,1,1434105,domestic
20250525,443,15 lbs Lightweight & Portable Powerhouse | Human-like AI Rally Drills | Voice Control | Upgrade-Ready Modules,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,523789,HK,1744108990,315229882,Tenniix,https://www.kickstarter.com/profile/tenniix,HKD,1750521626,0.12766452,100000,910231036,1746633626,HK,2165352,Hong Kong,Hong Kong Island,Town,Tenniix: Portable AI Tennis Partner That Grows With You,4102.856,4102856,None,5164014,None,5164014,inactive,1744108990,https://www.kickstarter.com/projects/tenniix/tenniix-worlds-first-vision-based-al-tennis-ball-machine,FALSE,TRUE,live,1746633630,0.12902079,0.12766452,529353.7224,domestic
20250525,2016,"30-Minute Homemade Ice Cream, 6-10 Servings, 100+ Free Recipes, No Pre-Freezing, Fast Cooling, Industrial-Grade Compressor",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,435033,US,1743068783,1073680692,iCreamlab,https://www.kickstarter.com/profile/icreamlab,USD,1748525421,1,10000,1992802510,1745933421,US,2390777,Delaware City,DE,Town,The Most Affordable Smart Compressor Ice Cream Maker!,4350.33,435033,None,5156103,None,5156103,inactive,1743068783,https://www.kickstarter.com/projects/icreamlab/the-most-affordable-smart-compressor-ice-cream-maker,FALSE,TRUE,live,1745933425,1,1,435033,domestic
20250525,2530,All the cooking performance. None of the drawbacks. Perfect heat distribution. Dramatically lighter. Completely maintenance-free.,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,408504,NL,1707747307,1864878244,BARE Cookware,https://www.kickstarter.com/profile/barecookware,EUR,1751543459,1.13697993,20000,725416800,1747655459,NL,733075,Rotterdam,South Holland,Town,The BARE Dutch Oven,1796.445,359289,None,4785695,None,4785695,inactive,1707747307,https://www.kickstarter.com/projects/barecookware/the-bare-dutch-oven,FALSE,TRUE,live,1747655463,1.11620722,1.13697993,401040.9759,domestic
20250525,167,Life-Size Interactive Coach | AI-Driven Real-Time Feedback | Unreal Engine-Powered Gaming | Interactive Sensors | Content for Everyone,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,402161,US,1736299456,1222156327,GROWL,https://www.kickstarter.com/profile/growl,USD,1749963540,1,20000,46600129,1747144144,US,2357536,Austin,TX,Town,GROWL: AI-Powered Boxing & Fitness Coach,2010.805,402161,None,5103964,None,5103964,inactive,1736299456,https://www.kickstarter.com/projects/growl/growl-ai-powered-boxing-and-fitness-coach,FALSE,TRUE,live,1747144149,1,1,402161,domestic
20250525,785,"Sphinx automatically feeds vet-approved meals, keeps food fresh, and lets you check in with your cat via real-time audio and video!",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,356186,US,1734135040,2063985245,Sphinx,https://www.kickstarter.com/profile/sphinxcatfeeder,USD,1750341031,1,5000,1936911225,1747749031,US,2467861,Palo Alto,CA,Town,Sphinx: The Smart Wet Feeder For Cats,7123.72,356186,None,5089287,None,5089287,inactive,1734135040,https://www.kickstarter.com/projects/sphinxcatfeeder/sphinx-the-worlds-smartest-cat-feeder,FALSE,TRUE,live,1747749035,1,1,356186,domestic
20250525,379,4 x 18.5” Screens | One Cable to Max 4 Screens | Up to 15 Display Modes | Built‐in Graphics Chip | Multi-system Support,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,302786,HK,1737622882,497411494,AUSNAT,https://www.kickstarter.com/profile/497411494,HKD,1748185227,0.12766452,50000,606295901,1744297227,HK,2165352,Hong Kong,Hong Kong Island,Town,Transformers: Magnetic Multi-screen Setup,4743.468,2371734,None,5115492,None,5115492,inactive,1737622882,https://www.kickstarter.com/projects/497411494/transformers-unleash-productivity-with-4-dynamic-displays,FALSE,TRUE,live,1744297231,0.12880174,0.12766452,305483.466,domestic
20250525,2491,Attaches to Anything | FREE Android/Apple Global Tracking | Advanced Recovery | Replaceable 1 year Battery,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,256921,GB,1744994317,1402657824,Roam Smart Tracker,https://www.kickstarter.com/profile/roamsmarttracker,GBP,1749215057,1.3542997,5000,1061351354,1746623057,GB,12723,Birmingham,England,Town,Roam: Tiny Tracker. Your Pocket-Sized SuperPower!,3794.16,189708,None,5170391,None,5170391,inactive,1744994317,https://www.kickstarter.com/projects/roamsmarttracker/roam-tiny-tracker-your-pocket-sized-superpower,FALSE,TRUE,live,1746623061,1.32952734,1.3542997,252221.9726,domestic
20250525,321,"Ultra-Compact | 90% Space Saving | Smooth Glide | 8 Usage Modes | All-Terrain | Full-Size Geometry | Travel Light,Travel Green",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,224348,US,1741343213,664546536,Vanessa,https://www.kickstarter.com/profile/aniwow01,USD,1749744013,1,10000,678288625,1747152013,US,2442047,Los Angeles,CA,Town,"Aniwow """"World’s Smallest 16"""" Folding Bike with 8 Usage Modes",2243.48,224348,None,5143917,None,5143917,inactive,1741343213,https://www.kickstarter.com/projects/aniwow01/aniwow-worlds-smallest-16-folding-bike-with-8-usage-modes,FALSE,TRUE,live,1747152018,1,1,224348,domestic
20250525,706,Modular. Heated. Graphene & Merino Powered. One jacket that thinks for you.,7,Design,None,None,http://www.kickstarter.com/discover/categories/design,217425,HK,1742199884,1077607260,Graphene-X,https://www.kickstarter.com/profile/ikigaiventures,HKD,1749650400,0.12766452,200000,1025835640,1747143935,HK,2165352,Hong Kong,Hong Kong Island,Town,ThermAdapt GX-Merino Heated Jacket,851.5495,1703099,None,5149684,None,5149684,inactive,1742199884,https://www.kickstarter.com/projects/ikigaiventures/thermadapt-gx-merino-heated-jacket,FALSE,TRUE,live,1747143939,0.12837745,0.12766452,218639.5067,domestic
20250525,638,All aluminum keyboard for writers with built-in Wordometer and productivity timer. Wireless or wired. Supercharge your word count.,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,213311,US,1736186953,457752709,Astrohaus,https://www.kickstarter.com/profile/astrohaus,USD,1750164925,1,10000,1188945158,1746536125,US,2391585,Detroit,MI,Town,Wordrunner: The Mechanical Word-Counting Keyboard,2133.11,213311,None,5102947,None,5102947,inactive,1736186953,https://www.kickstarter.com/projects/astrohaus/wordrunner-mechanical-word-counting-keyboard,FALSE,TRUE,live,1746536129,1,1,213311,domestic
20250525,2316,"Built-in Air Pump | One-Tap Activation | Powerful Waterfall Spray | 3,847 cm2 Coverage | 20L Reservoir | 70 Min Runtime |5 Full Showers",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,183651,US,1739342754,203753556,tommylee,https://www.kickstarter.com/profile/203753556,USD,1748185234,1,5000,805469816,1745593234,US,2397796,El Monte,CA,Town,Tiny Shower Bucket & Bag: Your On-the-go Shower Station,3673.02,183651,None,5130313,None,5130313,inactive,1739342754,https://www.kickstarter.com/projects/203753556/tiny-shower-bucket-and-bag-a-real-shower-even-in-the-wild,FALSE,TRUE,live,1745593239,1,1,183651,domestic
20250525,10950,All-in-One Modular|Compact Size|3D Texture|True Colors That Last|300+ Materials|AI-Powered|Self-Cleaning|SMB|Precise Positioning,334,DIY Electronics,16,Technology,http://www.kickstarter.com/discover/categories/technology/diy%20electronics,26822016,US,1744048424,1100186454,eufyMake,https://www.kickstarter.com/profile/ankermake,USD,1751119070,1,500000,1812062326,1745935070,US,2490383,Seattle,WA,Town,eufyMake E1: the First Personal 3D-Texture UV Printer,5364.4032,26822016,None,5163528,None,5163528,inactive,1744048424,https://www.kickstarter.com/projects/ankermake/eufymake-e1-the-first-personal-3d-textured-uv-printer,FALSE,TRUE,live,1745935075,1,1,26822016,domestic
20250525,3082,Customizable Characters | Multimodal AI Interaction | Companion Robot | Unfiltered Fantasy | Anime | IoT Hub | AI Config | Data Privacy,52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,1638177,US,1736491841,1731190486,SyBran Innovation,https://www.kickstarter.com/profile/1731190486,USD,1748187909,1,5000,1993972136,1744299909,US,2475687,Portland,OR,Town,CODE27 Character Livehouse: Customizable 3D AI Companion Hub,32763.54,1638177,None,5105671,None,5105671,inactive,1736491841,https://www.kickstarter.com/projects/1731190486/code-27-character-livehouse-bring-your-characters-to-life,FALSE,TRUE,live,1744299914,1,1,1638177,domestic
20250525,2799,Proactive Emotion Detection | Long-Term Memory | Human-like Perceptions | Interruptible Conversation | SDK Reprogramming Access,338,Robots,16,Technology,http://www.kickstarter.com/discover/categories/technology/robots,1505561,US,1745230360,818584679,X-Origin,https://www.kickstarter.com/profile/xorigin,USD,1753112687,1,8000,1342187011,1747928687,US,2442047,Los Angeles,CA,Town,Yonbo: Smartest Home Robot That Grows with Your Family,18819.5125,1505561,None,5171727,None,5171727,inactive,1745230360,https://www.kickstarter.com/projects/xorigin/yonbo-smartest-home-robot-that-grows-with-your-family,FALSE,TRUE,live,1747928692,1,1,1505561,domestic
20250525,1339,Up to 200TB | Intel Core Ultra 5 125H | Dual 10GbE & USB4 Ports | 16GB RAM | Local AI LLM | Smart Search | AI Features | User-Friendly,52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,1095331,HK,1742268158,1366554030,Zettlab,https://www.kickstarter.com/profile/zettlab,HKD,1749743120,0.12766452,70000,1249428602,1745855120,HK,2165352,Hong Kong,Hong Kong Island,Town,Zettlab AI NAS: Personal Cloud for Smart Data Management,12256.80571,8579764,None,5150282,None,5150282,inactive,1742268158,https://www.kickstarter.com/projects/zettlab/zettlab-ai-nas-personal-cloud-for-smart-data-management,FALSE,TRUE,live,1745855124,0.12888674,0.12766452,1105817.812,domestic
20250525,1863,Hyper Performance Single-board Sever|Mini NAS|Home server | Self-hosted | Software Router | Local AI | Cluster and More,52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,574478,HK,1743559968,1993314580,IceWhale Technology,https://www.kickstarter.com/profile/icewhaletech,HKD,1749220203,0.12766452,50000,1062427211,1745332203,CN,2151849,Shanghai,Shanghai,Town,ZimaBoard 2 - Hack Out New Rules,8999.81,4499905,None,5160094,None,5160094,inactive,1743559968,https://www.kickstarter.com/projects/icewhaletech/zimaboard-2-hack-out-new-rules,FALSE,TRUE,live,1745332207,0.12883767,0.12766452,579757.2754,domestic
20250525,2460,The Ultimate Linux Powered Sub 1Ghz Pocket Gadget for Hackers!,337,Gadgets,16,Technology,http://www.kickstarter.com/discover/categories/technology/gadgets,522384,US,1734449500,230547075,Interrupt Tech,https://www.kickstarter.com/profile/interrupt,USD,1749020340,1,10000,1390205457,1746539687,US,2397421,Edmond,OK,Town,Interrupt - Linux Powered Hacking Gadget,5223.84,522384,None,5091285,None,5091285,inactive,1734449500,https://www.kickstarter.com/projects/interrupt/interrupt-linux-powered-hacking-gadget,FALSE,FALSE,live,1746539691,1,1,522384,domestic
20250525,3247,"Effortlessly reach a deeply meditative, semi-psychedelic state. Relax, explore your mind and sleep better guided by flickering light.",341,Wearables,16,Technology,http://www.kickstarter.com/discover/categories/technology/wearables,517819,GB,1744357536,1629798284,Lumenate,https://www.kickstarter.com/profile/lumenate1,GBP,1748523319,1.3542997,60000,1411989806,1745931319,GB,13963,Bristol,England,Town,Lumenate Nova: The Consciousness-Shifting Light Mask,637.2533333,382352,None,5165951,None,5165951,inactive,1744357537,https://www.kickstarter.com/projects/lumenate1/lumenate-nova-the-consciousness-shifting-light-mask,FALSE,TRUE,live,1745931322,1.3295185,1.3542997,508344.0575,domestic
20250525,646,4-in-1 Smart Glasses | First-Person Capture | Open-Ear Audio | 5-Hour Recording | AI One-Click Highlights | Multiple Replaceable Lenses,341,Wearables,16,Technology,http://www.kickstarter.com/discover/categories/technology/wearables,508415,HK,1737615248,961658469,BleeqUp,https://www.kickstarter.com/profile/961658469,HKD,1748181557,0.12766452,20000,34735284,1744293557,HK,2165352,Hong Kong,Hong Kong Island,Town,BleeqUp - AI Sports Camera Glasses,19912.175,3982435,None,5115437,None,5115437,inactive,1737615248,https://www.kickstarter.com/projects/961658469/bleequp-ai-cycling-camera-glasses,FALSE,TRUE,live,1744293562,0.12880174,0.12766452,512944.5574,domestic
20250525,606,Ultra-Light 17.2lbs | Briefcase-Sized | Detachable Zipper Design | Efficient N-Type Cells | Mix-n-Match Compatibility | Anti-Shadow,52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,344872,US,1743154540,1601737503,OptiSolex,https://www.kickstarter.com/profile/optisolex,USD,1749397854,1,10000,1191252265,1745509854,US,2431147,Keizer,OR,Town,OptiSolex: Your First Hassle-Free Solar System,3448.72,344872,None,5156804,None,5156804,inactive,1743154540,https://www.kickstarter.com/projects/optisolex/your-first-hassle-freesolar-system-with-solexbrick-s1-module,FALSE,TRUE,live,1745509859,1,1,344872,domestic
20250525,5807,Only 1oz/28g | ∞ Runtime | Low power cosumption | 35s Fast Inflation | 3.5kPa | 300L/min | 80% Compression | 6 Nozzles| 5-Year Warranty,337,Gadgets,16,Technology,http://www.kickstarter.com/discover/categories/technology/gadgets,329415,US,1744791885,39467305,Aerogogo Team,https://www.kickstarter.com/profile/gigapump4,USD,1748959088,1,5000,1073926420,1745503088,US,2488042,San Jose,CA,Town,GIGA PUMP Air: The World's Lightest 2-in-1 Air Pump Only 1oz,6588.3,329415,None,5168929,None,5168929,inactive,1744791885,https://www.kickstarter.com/projects/gigapump4/giga-pump-air-the-worlds-lightest-air-pump-only-1oz,FALSE,TRUE,live,1745503092,1,1,329415,domestic
20250525,1639,40kHz Ultrasonic Vibration | True Wireless | Auto Power Adjustment | Precision/Continuous Mode | Replaceable Battery | LED Light,334,DIY Electronics,16,Technology,http://www.kickstarter.com/discover/categories/technology/diy%20electronics,312610,HK,1742901369,275753879,HOZO Design. Co.,https://www.kickstarter.com/profile/hozodesign,HKD,1751461173,0.12766452,30000,1893629722,1747141173,HK,2165352,Hong Kong,Hong Kong Island,Town,NeoBlade: Wireless Ultrasonic Cutter for Evolved Makers,8162.283333,2448685,None,5154657,None,5154657,inactive,1742901369,https://www.kickstarter.com/projects/hozodesign/neoblade,FALSE,TRUE,live,1747141177,0.12837745,0.12766452,314355.9362,domestic
20250525,1246,"Inspired by Japanese minimalist design, this groundbreaking monitor arm lets you move your displays as if floating in zero gravity.",337,Gadgets,16,Technology,http://www.kickstarter.com/discover/categories/technology/gadgets,265670,US,1736481742,538013557,COFO,https://www.kickstarter.com/profile/538013557,USD,1748612978,1,5000,974437011,1744292978,US,2492421,Sheridan,WY,Town,COFO Monitor Arm Pro: World’s First Arm with a Zero-G Feel,5313.4,265670,None,5105612,None,5105612,inactive,1736481742,https://www.kickstarter.com/projects/538013557/cofo-monitor-arm-pro-worlds-first-zero-gravity-monitor-arm,FALSE,TRUE,live,1744292983,1,1,265670,domestic
20250525,0,"Say hello to SkyMill, a kinetic sculpture that transforms the weather forecast into a living, display of movement and light.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,SE,1744036308,31646323,Sky Mill,https://www.kickstarter.com/profile/skymill,EUR,0,1.13697993,0,2050331372,0,SE,906057,Stockholm,Stockholm,Town,Skymill – Watch the Weather Unfold,0,0,None,5163385,None,5163385,inactive,1744036308,https://www.kickstarter.com/projects/skymill/skymill,FALSE,TRUE,submitted,1747050001,0,None,None,domestic
20250525,0,The Model 01 marks the revival of a once-famous name in watchmaking,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,GB,1737049267,68386165,MONCEAU,https://www.kickstarter.com/profile/monceau,GBP,1749985140,1.3542997,0,1138426306,0,GB,38978,Wales,England,Town,MONCEAU Model 01 | Swiss made watch with contoured dial,0,0,None,5110437,None,5110437,inactive,1737049267,https://www.kickstarter.com/projects/monceau/monceau-model-01-swiss-made-mechanical-watch,FALSE,FALSE,submitted,1739901397,0,None,None,domestic
20250525,0,World’s 1st wallet with both Apple Find My & Google's Find My Device | Magnetic card holder & phone stand | NFC business card,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1740493530,929839946,Seinxon,https://www.kickstarter.com/profile/seinxonitemfinder,USD,0,1,0,2105357845,0,US,2459115,New York,NY,Town,InCard Seinxon Trackable Wallet+ : 6 in One,0,0,None,5137947,None,5137947,inactive,1740493531,https://www.kickstarter.com/projects/seinxonitemfinder/seinxxon-nfc-and-bluetooth-smart-wallet-for-tracking-and-sharing,FALSE,FALSE,submitted,1740509032,0,None,None,domestic
20250525,0,"Functional, Motorized Models with a Mission",396,Toys,7,Design,http://www.kickstarter.com/discover/categories/design/toys,None,US,1736948350,1480086534,Vinay Prathapan,https://www.kickstarter.com/profile/1480086534,USD,0,1,0,804394780,0,US,55860750,Florida Center,FL,Suburb,TREADHEADS- DIY Mechanical Models,0,0,None,5109486,None,5109486,inactive,1736948350,https://www.kickstarter.com/projects/1480086534/treadheads-diy-mechanical-models,FALSE,FALSE,submitted,1739191708,0,None,None,domestic
20250525,0,"Coffee Stain and Heroic Replicas present: The Big Box Collection + Factory Cart Building Block Set, from the world of SATISFACTORY.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,CA,1741468272,1356505923,Heroic Replicas LTD,https://www.kickstarter.com/profile/heroicreplicas,CAD,0,0.72798748,70000,40928167,0,CA,4118,Toronto,ON,Town,SATISFACTORY - Big Box Collection + Factory Cart Brick Set,0,0,None,5144749,None,5144749,inactive,1741468273,https://www.kickstarter.com/projects/heroicreplicas/satisfactory-collectors-big-box-and-factory-cart,FALSE,FALSE,started,1741468272,0,None,None,domestic
20250525,0,Turn Every Moment into Your Personal Artistic Expression,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1740991788,587813756,HTVRONT,https://www.kickstarter.com/profile/htvront,USD,0,1,0,2115111192,0,US,2497646,Spokane,WA,Town,LOKLiK iPaint: The World's First AI-Powered Painting Machine,0,0,None,5141170,None,5141170,inactive,1740991788,https://www.kickstarter.com/projects/htvront/ipaint-the-worlds-first-ai-powered-painting-machine,FALSE,FALSE,submitted,1741678640,0,None,None,domestic
20250525,0,100% Made in the USA - The Zero-G is the next iteration of our famous Zero Knife. Experience the next stage of sleek & seamless EDC.,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1745939580,1570385464,Kevin Michael Sayers,https://www.kickstarter.com/profile/riverycnc,USD,0,1,0,1457779743,0,US,2491087,Sevierville,TN,Town,Zero-G: Our next deceptively simple knife,0,0,None,5176795,None,5176795,inactive,1745939580,https://www.kickstarter.com/projects/riverycnc/zero-g-our-next-deceptively-simple-knife,FALSE,FALSE,submitted,1746221017,0,None,None,domestic
20250525,0,Century Series | GR29 Titanium | Multi-Layer Precision Grip | World’s First Adjustable Torque | 100mm Clamping Range | Universal Fit,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,HK,1745304240,1142288151,Titaner TiGlide,https://www.kickstarter.com/profile/tiglide,HKD,0,0.12766452,0,727792037,0,HK,2165352,Hong Kong,Hong Kong Island,Town,Titaner Adjustable Torque TiFractal Vise,0,0,None,5172336,None,5172336,inactive,1745304240,https://www.kickstarter.com/projects/tiglide/titaner-titanium-fractal-vise,FALSE,FALSE,submitted,1745325520,0,None,None,domestic
20250525,0,Capsule Sized Titanium Keychain Pendant| 440C Mini Blade| Tritium Glow in the Dark Decoration| Zipper Pull| Box Cutter,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1744186527,1653037605,Logical Carry,https://www.kickstarter.com/profile/creative-box,USD,0,1,0,1229998288,0,US,2458152,New Castle,DE,Town,PeaCut- Titanium EDC Keychain Box Cutter| Glow in the Dark,0,0,None,5164668,None,5164668,inactive,1744186527,https://www.kickstarter.com/projects/creative-box/peacut-titanium-edc-keychain-box-cutter-glow-in-the-dark,FALSE,FALSE,submitted,1746280800,0,None,None,domestic
20250525,0,Over 100+ combinations | 3D Concrete | 11 Landmarks | 9 Cityscapes | 20 Fragrances | 6 Wood Color Options | 60hr and 30 hr Burn Times,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1718273381,463553455,DAWN CITY,https://www.kickstarter.com/profile/dawncity,USD,0,1,0,2088279509,0,US,2459271,Newark,DE,Town,DAWN CITY: Discover the World in Candlelight,0,0,None,4905700,None,4905700,inactive,1718273381,https://www.kickstarter.com/projects/dawncity/dawn-city-discover-the-world-in-candlelight,FALSE,FALSE,submitted,1742655035,0,None,None,domestic
20250525,0,The #1 Timer for Mindful Productivity,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,NL,1741857184,1109498663,New Things Lab B.V.,https://www.kickstarter.com/profile/newthingslab,EUR,0,1.13697993,0,1750050987,0,NL,728612,Delft,South Holland,Town,ZONE - Focus Timer,0,0,None,5147543,None,5147543,inactive,1741857184,https://www.kickstarter.com/projects/newthingslab/zone-focus-timer,FALSE,FALSE,submitted,1746811276,0,None,None,domestic
20250525,0,Original Taste| Gr2 Titanium | Featherlight | Permanent Brilliance | Double-Wall Structure |Easy-Clean | Antibacterial&Eco-Friendly,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,HK,1746757778,92710528,Titaner-GXH,https://www.kickstarter.com/profile/titaner-gxh,HKD,0,0.12766452,0,1145735213,0,HK,2165352,Hong Kong,Hong Kong Island,Town,Titaner Color-Ti Double-Wall Cup: As Pure as Every Sip,0,0,None,5182471,None,5182471,inactive,1746757778,https://www.kickstarter.com/projects/titaner-gxh/titaner-radiance-sip-titanium-cup,FALSE,FALSE,submitted,1746782648,0,None,None,domestic
20250525,0,"A high-end male stroker that syncs with video, cam artists, games and more. Get yours first at the absolute best price we'll do — ever.",52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,None,US,1739180556,967247750,Ohdoki,https://www.kickstarter.com/profile/ohdoki,USD,0,1,0,1777804946,0,NO,862592,Oslo,Oslo Fylke,Town,"The Handy 2: The #1 Male Sex Toy, Now Even Better",0,0,None,5128747,None,5128747,inactive,1739180556,https://www.kickstarter.com/projects/ohdoki/the-handy-2-the-1-male-sex-toy-now-even-better,FALSE,FALSE,submitted,1747292849,0,None,None,international
20250525,0,"Analog Dreams, Digital Wings: A Digital Rebirth of Classic Photography",333,Camera Equipment,16,Technology,http://www.kickstarter.com/discover/categories/technology/camera%20equipment,None,HK,1742285839,1940283777,YASHICA,https://www.kickstarter.com/profile/1940283777,HKD,0,0.12766452,0,324701340,0,HK,2165352,Hong Kong,Hong Kong Island,Town,YASHICA FX-D: Your First Digital Film Simulation Camera,0,0,None,5150376,None,5150376,inactive,1742285839,https://www.kickstarter.com/projects/1940283777/yashica-fx-d-camera-blending-film-aesthetics-and-digital-ease,FALSE,TRUE,submitted,1743154886,0,None,None,international
20250525,0,MK12 replaces pricey Hi-End headphones&IEMs—10Hz–45kHz|9 Tuning Types|Lower Impedance 32Ω|Higher Sensitivity 111dB|Higher Dynamic 118dB,339,Sound,16,Technology,http://www.kickstarter.com/discover/categories/technology/sound,None,HK,1745653139,873263862,Hidizs,https://www.kickstarter.com/profile/hidizs,HKD,0,0.12766452,0,96412150,0,HK,2165352,Hong Kong,Hong Kong Island,Town,World‘s 1st 12mm 91% Pure MagnesiumTM Diaphragm HiFi Earphone,0,0,None,5174962,None,5174962,inactive,1745653139,https://www.kickstarter.com/projects/hidizs/worlds-1st-12mm-large-91-magnesiumtm-diaphragm-earphones,FALSE,TRUE,submitted,1745765007,0,None,None,international
20250525,0,Up to 80W Diode & 60W MOPA | Flying 3D Galvo | 610 x 305mm at up to 4000mm/s | Almost All Materials | Save Time for What Matters,335,Fabrication Tools,16,Technology,http://www.kickstarter.com/discover/categories/technology/fabrication%20tools,None,US,1736236114,1367580834,ACCELaser,https://www.kickstarter.com/profile/accelaser,USD,0,1,0,12156577,0,US,2458152,New Castle,DE,Town,ACCELaser HD1: World's First Dual Laser with Flying 3D Galvo,0,0,None,5103378,None,5103378,inactive,1736236114,https://www.kickstarter.com/projects/accelaser/accelaser-hd1-worlds-first-dual-laser-with-flying-3d-galvo,FALSE,FALSE,submitted,1747647742,0,None,None,international
20250525,0,"300W Max Total Output丨140W Max Input丨DIY RGB丨Premium Transparent & Alu Body丨Airline-safe 24,000mAh/86.4Wh丨Upgraded Smart Display",52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,None,US,1747298409,2058080697,STORM 2,https://www.kickstarter.com/profile/edc-power-bank,USD,0,1,0,339055964,0,None,None,None,None,None,Shargeek 300: The Next Gen Power Beast,0,0,None,5186239,None,5186239,inactive,1747298409,https://www.kickstarter.com/projects/edc-power-bank/shargeek300,FALSE,FALSE,started,1747298409,0,None,None,international
20250525,0,5 tools. Giant Build Space. Insane speeds. Open-Source.,331,3D Printing,16,Technology,http://www.kickstarter.com/discover/categories/technology/3d%20printing,None,HK,1736616843,1552823768,Makertech 3D,https://www.kickstarter.com/profile/proforge-3d-printer,HKD,0,0.12766452,0,534257869,0,None,None,None,None,None,ProForge 5 Tool Changer 3D Printer,0,0,None,5106670,None,5106670,inactive,1736616843,https://www.kickstarter.com/projects/proforge-3d-printer/proforge-5,FALSE,FALSE,started,1736616843,0,None,None,international
20250525,0,"Fiber Laser CNC Cutter | Handheld Laser Welding, Cutting & Cleaning | CO2 Cutting & Engraving | All-in-One | Industrial Precision",335,Fabrication Tools,16,Technology,http://www.kickstarter.com/discover/categories/technology/fabrication%20tools,None,US,1744004053,1008685864,Gweike Laser,https://www.kickstarter.com/profile/gweikelaser,USD,0,1,0,523420724,0,US,2379574,Chicago,IL,Town,GWEIKE M Series: 6-in-1 Laser Machine for Your Workshop,0,0,None,5163148,None,5163148,inactive,1744004053,https://www.kickstarter.com/projects/gweikelaser/gweike-m-6-in-1-multi-process-fiber-and-co2-laser-system,FALSE,FALSE,submitted,1744437959,0,None,None,international
20250525,0,Marker-free Scans | Capture Small to Big Objects | Industrial-grade Accuracy | Auto Calibration | Blue Multi-Line Laser | Fast Scans,331,3D Printing,16,Technology,http://www.kickstarter.com/discover/categories/technology/3d%20printing,None,US,1745569336,2125914059,Revopoint 3D,https://www.kickstarter.com/profile/revopoint3d,USD,1752156000,1,0,1350379944,0,US,2397975,El Segundo,CA,Town,Revopoint Trackit - Optical Tracking 3D Scanner,0,0,None,5174444,None,5174444,inactive,1745569336,https://www.kickstarter.com/projects/revopoint3d/revopoint-trackit-optical-tracking-3d-scanner,FALSE,TRUE,submitted,1746784746,0,None,None,international
